Name,Best Period (days),Power,90% FAP,95% FAP,99% FAP
GDR1_2162928934512434432,201.2387467,0.080898986,0.065719538,0.070505496,0.081196036
FHK_285,223.687903,0.343124192,0.039917647,0.042684765,0.048891962
FHK_278,251.1595296,0.288445607,0.065338424,0.070093947,0.080717183
FHK_510,10.30028492,0.627749891,0.039917647,0.042684765,0.048891962
FHK_555,47.12560402,0.1496261,0.065037214,0.069762033,0.080317477
FHK_398,18.87568201,0.046904279,0.077067891,0.082889926,0.095864116
GDR1_2163148596322501760,29.38736367,0.050532167,0.062428685,0.066954162,0.077068357
FHK_512,20.91200307,0.341856719,0.324663752,0.349115228,0.400879602
GDR1_2162123198648385024,6.969001751,0.055551193,0.064944586,0.069670208,0.080227289
GDR1_2163138116611233408,8.861413894,0.174237883,0.062428685,0.066954162,0.077068357
2MASS_J20535805+4418556,286.9228688,0.074014869,0.068433334,0.073444589,0.084632934
GDR1_2162965287117378944,308.742706,0.407140035,0.062428685,0.066954162,0.077068357
GDR1_2162091003573281920,32.62735313,0.125523144,0.067124,0.072055204,0.083066241
GDR1_2163169761929937280,286.9228688,0.277732694,0.062885158,0.067452636,0.077659704
GDR1_2162935565942174208,4.998898431,0.096821816,0.039917647,0.042684765,0.048891962
GDR1_2162122339654917120,7.153651946,0.273345453,0.065145071,0.06988556,0.080475541
GDR1_2162933882314931968,6.632126046,0.304655575,0.039917647,0.042684765,0.048891962
GDR1_2163138288400926464,286.9228688,0.063413912,0.062428685,0.066954162,0.077068357
GDR1_2067034306341810304,89.74616262,0.187242495,0.069656106,0.074751275,0.086125206
GDR1_2162989201494332800,9.050308696,0.247246185,0.074173618,0.079733554,0.092130979
2MASS_J20562950+4314535,400,0.134764662,0.083756922,0.090247438,0.104688569
GDR1_2162966798944728320,18.8371839,0.163525997,0.092274251,0.099482428,0.115495611
PSO_J205818.503+435346.014,308.5689674,0.439951363,0.064944586,0.069670208,0.080227289
